UserTag,TimeStamp,Tweet,Replies,ReTweets,Likes
"Ajit Hemant Kumar
@Ajit_h76
·
5s",2023-10-07T15:05:26.000Z,This is one of best of the creation of Marvel. I just fall in love with the look of loki .  #LokiSeason2OnHotstar,0,0,0
"Anvi suraj
@suraj_a09
·
2m",2023-10-07T15:03:24.000Z,I cannot explain how awesome the first episode it is. Afterwards in the first episode I am waiting for the rest. #LokiSeason2OnHotstar,0,0,0
"Sonali
@Sonali_42
·
1m",2023-10-07T15:04:36.000Z,"After watching the first episode of LokiS2 i can't wait anymore for next episode of this awesome webscries on Hotstar 
#LokiSeason2OnHotstar",0,0,0
"Sanam... (V)
@Iam_sabnam_
·
3m",2023-10-07T15:02:11.000Z,The twists and turns in #LokiSeason2OnHotstar always leave me on the edge of my seat..,0,0,0
"#freebookworld
@freebookworld
·
34m",2023-10-07T14:31:27.000Z,"know where Our Pardada had Gone.....?
#LokiSeason2OnHotstar",0,2,2
"𝔸𝕞𝕚𝕥
@Iam_Amit_0
·
2m",2023-10-07T15:03:21.000Z,#LokiSeason2OnHotstar is a triumph in storytelling. Marvel has set the bar higher than ever..,0,0,0
"khushi
@khushi423
·
2m",2023-10-07T15:02:48.000Z,"I want say it that it is a treat to watch #LokiSeason2OnHotstar, you will love this.",0,0,0
"shadab khan
@raji35214659114
·
2m",2023-10-07T15:02:42.000Z,"Friends, its season has arrived, you can watch it on Hotstar on Friday. #LokiSeason2OnHotstar",0,0,0
"Kajal Mishra
@KajalMi1
·
8s",2023-10-07T15:05:30.000Z,"Loki 2 is class,the most promising one to have arrived this year on hotstar, superlative acting. #LokiSeason2OnHotstar",0,0,0
"ROHIT SHARMA
@ROHITSH81520842
·
2s",2023-10-07T15:05:36.000Z,"For more entertainment I always suggest you to see this second episode... First episode Just amazing...
#LokiSeason2OnHotstar",0,0,0
"Girl with Gorgeousness
@GorgeousGirl006
·
4s",2023-10-07T15:05:34.000Z,"All the super amazing episodes are on every Friday.
So don't miss it.
#LokiSeason2OnHotstar",0,0,0
"Ishaan Rai Thummar
@ishanraithummar
·
4s",2023-10-07T15:05:34.000Z,"Everyone is going to make it after watching the Loki session 2 episode 1 on hotstar....
#LokiSeason2OnHotstar",0,0,0
"Park Hye Kyo
@iamparkhyekyo
·
5s",2023-10-07T15:05:33.000Z,"The character of the series is definitely going to be epic !
#LokiSeason2OnHotstar",0,0,0
"vaishali bhil
@vaishali_bhil79
·
7s",2023-10-07T15:05:31.000Z,The Marvel magic continues with #LokiSeason2OnHotstar. The first episode left me wanting more!,0,0,0
"Abhi
@Abhi86_
·
4m",2023-10-07T15:01:42.000Z,Everyone talking about this and we are excited to watch this #LokiSeason2OnHotstar,0,0,0
"RizAsara
@AsaraRiz36546
·
2m",2023-10-07T15:03:04.000Z,"Friends, you all should not miss season 2 at all, you are going to enjoy it a lot.
#LokiSeason2OnHotstar",0,0,0
"Nency
@ur_Nency_
·
3m",2023-10-07T15:02:02.000Z,The emotional depth in #LokiSeason2OnHotstar is remarkable. It's more than just a superhero show..,0,0,0
"Risha
@Risha5_
·
2m",2023-10-07T15:02:47.000Z,"Mark my words this is going to be interesting one just wait and watch
#LokiSeason2OnHotstar",0,0,0
"pooja
@teribandi03
·
2m",2023-10-07T15:03:12.000Z,"everyone is praising this web series a lot on Hotstar, you all must watch it. Go and watch now..#LokiSeason2OnHotstar",0,0,0
"rimi gayen
@rimiroy09
·
45s",2023-10-07T15:04:58.000Z,"This web series is truly magical this is going to be  masterpiece guys must watch on hotstar
#LokiSeason2OnHotstar",0,0,0
"kirthikash
@Jayceechan45
·
6m",2023-10-07T14:59:14.000Z,My favorite Loki is back with a bang.  Check out the episode of it. So excited to see the next one. #LokiSeason2OnHotstar,0,0,0
"shinasi
@shinasi_1
·
4m",2023-10-07T15:00:59.000Z,Yes #LokiSeason2OnHotstar and really happy to know about this,0,0,0
"Mahi 007
@0Mahi0007
·
2s",2023-10-07T15:05:43.000Z,"Guys don't miss this. I am really excited to watch this season. 
#LokiSeason2OnHotstar",0,0,0
"परिधि शुक्ला
@S_Paridhi22
·
8s",2023-10-07T15:05:37.000Z,Get ready for some mischievous fun starting at 6:30 AM every Friday. #LokiSeason2OnHotstar,0,0,0
"Navghan Chavda
@Navghan__15
·
5s",2023-10-07T15:05:40.000Z,"Loki season 2 is streaming on hotstar.. just go and watch first episode..
#LokiSeason2OnHotstar",0,0,0
"Neji
@neji814061
·
5s",2023-10-07T15:05:40.000Z,"This is really win my heart, what a amazing  #LokiSeason2OnHotstar",0,0,0
"Mouli
@Anookhi_
·
8s",2023-10-07T15:05:37.000Z,The multiverse's most charming troublemaker is back for another round of adventures. Join Loki S2 every Friday at 6:30 AM. #LokiSeason2OnHotstar,0,0,0
"Moon
@moon12435677
·
8s",2023-10-07T15:05:37.000Z,"Just watched the First episode of..#LokiSeason2OnHotstar , this is amazing, can't wait for next Friday to see what happens next in the series",0,0,0
"Arko Roy 1pit
@ArkoRoy98
·
4m",2023-10-07T15:01:42.000Z,"This web series really pic epic guys don't miss watch is web series fast episode too good and waiting for 2nd episode on Friday
#LokiSeason2OnHotstar",0,0,0
"Alisha_rmd
@rmd_alisha
·
7m",2023-10-07T14:58:41.000Z,1st episode has already impressed me a lot. Can't wait to see the next episode of #LokiSeason2OnHotstar,0,0,0
"MASUD
@MA24189157
·
3m",2023-10-07T15:02:25.000Z,"#LokiSeason2OnHotstar
I always look forward to this kind of web series, the first chapter was really great and I'm looking forward to the second chapter. Guys check it out on Hotstar",0,0,0
"Rr
@vermajikalaunda
·
4m",2023-10-07T15:01:00.000Z,"Loki season 2 has earned our
Respect and you need to watch it 
#LokiSeason2OnHotstar",0,0,0
"Manasvi
@Manasvi67_
·
4m",2023-10-07T15:01:46.000Z,It is very really mind-blowing.. don't miss this one..#LokiSeason2OnHotstar,0,0,0
"Jehan rahi
@Johan01Ruhi
·
50s",2023-10-07T15:05:00.000Z,"Brilliant performance by everyone in this new season and I just love it
#LokiSeason2OnHotstar",0,0,0
"nakumnakum
@nakumnakum65859
·
4m",2023-10-07T15:01:44.000Z,"Hello guys this and people seems really interested for this one
#LokiSeason2OnHotstar",0,0,0
"vidhu
@vidhu______0254
·
45s",2023-10-07T15:05:05.000Z,Assemble your TVA gear and prepare for a wild ride! #LokiSeason2OnHotstar is coming soon!,0,0,0
"Somu
@Somu05947466
·
8s",2023-10-07T15:05:44.000Z,You can learn a lot of good things in life by watching it. So please take some time and watch it.#LokiSeason2OnHotstar,0,0,0
"queen
@Zoya1471
·
5s",2023-10-07T15:05:47.000Z,"Let's we all should watch thr Loki season 2
#LokiSeason2OnHotstar",0,0,0
"Tulsi Kumari
@Iam_TulsiKumari
·
4m",2023-10-07T15:01:50.000Z,I love how #LokiSeason2OnHotstar tackles themes of identity and self-discovery. It's thought-provoking..,0,0,0
"Ananya singh
@AnuAnanyaaf200
·
5m",2023-10-07T15:00:15.000Z,#LokiSeason2OnHotstar is here . Its first episode is out.  Don't Miss to see,0,0,0
"moni tiwari
@monitiwari22507
·
2m",2023-10-07T15:03:50.000Z,"I want say it that Loki's back, and I'm here for it!  #LokiSeason2OnHotstar is a dream come true for Marvel fans! ",0,0,0
"Ghosh Somu
@GhoshSomu2
·
50s",2023-10-07T15:05:07.000Z,"Friends, if you don't watch it, you will miss a lot. So everyone must watch it.
#LokiSeason2OnHotstar",0,0,0
"Amit
@Amitbranddd
·
6m",2023-10-07T14:59:30.000Z,"This is really Epic series on Disney Plus hotstar.. don't miss it.
#LokiSeason2OnHotstar",0,0,0
"𝔖𝔲𝔯𝔬𝔧𝔦𝔱 𝔎𝔲𝔫𝔡𝔲
@Surojit55426172
·
54s",2023-10-07T15:05:03.000Z,"I can't wait to watch rest of the episode! It will be interesting to see 
#LokiSeason2OnHotstar",0,0,0
"43_Smit _Patel
@Smit_Patel_7
·
3m",2023-10-07T15:02:02.000Z,"Just watch first episode of Loki season 2..I am sure you Love it..
#LokiSeason2OnHotstar",0,0,0
"Robby
@Robby87248930
·
5m",2023-10-07T15:00:06.000Z,"Each and every second of the episode is so good must watch
#LokiSeason2OnHotstar",0,0,0
"Prasanta kumar
@Prasant6370
·
2m",2023-10-07T15:03:00.000Z,The best MCU series is back with a bang! #LokiSeason2OnHotstar is taking the story to new heights and I'm loving every twist and turn. Fridays just got better!,0,0,0
"infatuation
@i_amdipu16
·
3m",2023-10-07T15:02:01.000Z,"Each and every star cast of this web series done their job well and perform every role with perfection.
#LokiSeason2OnHotstar",0,0,0
"Mit
@MitPate235
·
6m",2023-10-07T14:59:43.000Z,"This series's first episode won my heart wow i can't wait to watch others
#LokiSeason2OnHotstar",0,0,0
"Priyam
@MeeraTeri_
·
2s",2023-10-07T15:05:57.000Z,The magic of Loki S2 is about to begin! Set your alarms and be there to witness the chaos unfold every Friday at 6:30 AM. #LokiSeason2OnHotstar,0,0,0
"RISABH PANT
@ANIRUDDHAM68877
·
9s",2023-10-07T15:05:50.000Z,waiting for the next..#LokiSeason2OnHotstar,0,0,0
"PRATEEK KUMAR
@PRATIGYA78
·
4s",2023-10-07T15:05:55.000Z,"You must watch this on Hotstar, it is going to be very good, friends, it is very amazing.
#LokiSeason2OnHotstar",0,0,0
"Rohan choudhary
@kadil0000
·
3s",2023-10-07T15:05:56.000Z,"In fact, ever since I came to know about it, I am very happy and I am telling all my friends about it.
#LokiSeason2OnHotstar",0,0,0
"@_CrazyOneHere
·
5s",2023-10-07T15:05:54.000Z,Don't forget to watch this #LokiSeason2OnHotstar on every Friday.,0,0,0
"khushali ahir
@AhirKhushali72
·
7s",2023-10-07T15:05:52.000Z,"It's Loki Fridays, and I'm loving every minute of it with #LokiSeason2OnHotstar. Marvel fans, this is a must-watch!",0,0,0
"Priya Singh
@priyassinh9
·
3m",2023-10-07T15:02:22.000Z,"Loki 2 has arrived on hotstar and is streaming,.most amazing I have ever seen,an edge of the seat. #LokiSeason2OnHotstar",0,0,0
"🅂🄰🄼
@Anonymou_00
·
5m",2023-10-07T15:00:44.000Z,"The most loved web series in the world is presented again to you. I hope you all like it very much
#LokiSeason2OnHotstar",0,0,0
"subhadip Mukherjee
@Subhadip_09
·
2m",2023-10-07T15:03:26.000Z,"Guys don't miss to witness all upcoming episode of this awesome webscries LokiS2 streaming every Friday only on Hotstar 
#LokiSeason2OnHotstar",0,0,0
"Sonu upadhyaya
@Iam_sonu12
·
3m",2023-10-07T15:02:13.000Z,"This season is must watchable because it keeps you hooked all the time because it is totally mind blowing.
#LokiSeason2OnHotstar",0,0,0
"Kalpesh
@singhh_sahab
·
3m",2023-10-07T15:02:41.000Z,"Oh my gosh just look what's 
Here it's Loki season 2 on the Hotstar 
#LokiSeason2OnHotstar",0,0,0
"super hero
@ar73533
·
6m",2023-10-07T14:59:58.000Z,"Friends have you seen this first episode of this masterpiece
#LokiSeason2OnHotstar",0,0,0
"thamur
@thamur84923654
·
7m",2023-10-07T14:58:16.000Z,"So I have told everyone about the accident, you should also see it.
#LokiSeason2OnHotstar",0,0,0
"Rupkumar Roy dhp1
@Rupkuma12
·
7m",2023-10-07T14:58:54.000Z,"Fast episode really interesting and I am waiting for second episode i really love this web series
#LokiSeason2OnHotstar",0,0,0
"dj Alok
@BikramGhos53758
·
2s",2023-10-07T15:06:04.000Z,"Everyone go ahead and watch the first episode.
#LokiSeason2OnHotstar",0,0,0
"Anupamaa
@AnayaMishra_
·
4s",2023-10-07T15:06:02.000Z,Time to set your alarms because Loki Season2 is dropping new episodes bright and early at 6:30 AM every Friday. Get ready for the adventure! #LokiSeason2OnHotstar,0,0,0
"Devdut Kundu
@devdut_kundu
·
6s",2023-10-07T15:06:00.000Z,I think the second part is going to hit...#LokiSeason2OnHotstar,0,0,0
"Anindu lohar
@anindu_21
·
3s",2023-10-07T15:06:03.000Z,After watching the first episode I am getting ready for rest of the. #LokiSeason2OnHotstar,0,0,0
"𝔹𝕦𝕘'𝕤 𝔹𝕦𝕟𝕟𝕪
@Chaotic__Soull
·
3m",2023-10-07T15:02:21.000Z,The first episode of #LokiSeason2OnHotstar  is so amazing  looking forward to the rest,0,0,0
"Ꭾիѻєɳıẋ
@badboy2242224
·
1m",2023-10-07T15:04:44.000Z,This is really a master peace..#LokiSeason2OnHotstar,0,0,0
"Divya
@Divya_x___
·
1h",2023-10-07T14:05:41.000Z,The cinematography in #LokiSeason2OnHotstar is stunning. Each frame is a work of art...,0,0,3
"Girish
@Girish09494975
·
1m",2023-10-07T15:05:09.000Z,"It's high time ot watch the Loki season 2
#LokiSeason2OnHotstar",0,0,0
"Rajendra
@rajender_50
·
7m",2023-10-07T14:58:12.000Z,"This is really amazing to watch first episode
Can't wait for next one
#LokiSeason2OnHotstar",0,0,0
"CARRY MINATI
@HareKrishn70524
·
7m",2023-10-07T14:58:34.000Z,"The series is going to be a game-changer don't miss in hotstar
#LokiSeason2OnHotstar",0,0,0
"Riddhi
@RiddhiSai1
·
4m",2023-10-07T15:02:01.000Z,Fridays are no longer ordinary thanks to #LokiSeason2OnHotstar. This series is a masterpiece.,0,0,0
"vidhirajput
@vidhirajpu56647
·
7m",2023-10-07T14:58:47.000Z,"Don't miss this season this is very great nd amazing guys.
#LokiSeason2OnHotstar",0,0,0
"bhagurajput
@bhagurajpu18400
·
7m",2023-10-07T14:59:01.000Z,"Guys ae vakey me Shandar hone wali hai season very interesting please check.
#LokiSeason2OnHotstar",0,0,0
"SSR FAN
@JAYBHAN01
·
2s",2023-10-07T15:06:10.000Z,"Everyone loves the first episode and I think the next episode will be very interesting 
#LokiSeason2OnHotstar",0,0,0
"jasmin ahir
@JasminYada87686
·
2s",2023-10-07T15:06:10.000Z,Loki Season 2 is off to an explosive start with #LokiSeason2OnHotstar. Can't wait to see where the story goes next!,0,0,0
"PROUD SSR FAN !!
@MithiGoliWalaDr
·
2s",2023-10-07T15:06:10.000Z,"That guy is made different !!
I like his evilness !!
Loki is one of the most important character of MCU !!
#LokiSeason2OnHotstar",0,0,0
"Hardik Pandey
@HardikP49115836
·
2s",2023-10-07T15:06:10.000Z,"We need more episodes like this so don't miss second episode anyone and also share your opinion
#LokiSeason2OnHotstar",0,0,0
"Kim Taehyung
@MinSuro
·
6s",2023-10-07T15:06:06.000Z,"This is truly masterpiece and mind-blowing for all on Hotstar
#LokiSeason2OnHotstar",0,0,0
"Prem
@prembrandd
·
7m",2023-10-07T14:58:48.000Z,One of the best series on Disney Plus hotstar.#LokiSeason2OnHotstar,0,0,0
"Srishti
@SristhiK9
·
5m",2023-10-07T15:00:26.000Z,Loki 2 on hotstar is excellent watch and everyone must watch. Go and enjoy this one. #LokiSeason2OnHotstar,0,0,0
"I'm goutam
@Imgoutam545167
·
8m",2023-10-07T14:57:53.000Z,"I can't wait for Friday to see the episode, I'm not going to miss it at all
#LokiSeason2OnHotstar",0,0,0
"Sajid
@SAJID1233445
·
8m",2023-10-07T14:58:03.000Z,"Just watched the first episode.. really enjoyed the first one.
#LokiSeason2OnHotstar",0,0,0
"ritik
@ritik4797036271
·
9m",2023-10-07T14:56:47.000Z,The chemistry between the characters is electric. #LokiSeason2OnHotstar,0,0,0
"I'm qureshi boss
@MBoss17982
·
8m",2023-10-07T14:58:08.000Z,"Everyone needs to know about it and everyone must watch it, no one should miss it
#LokiSeason2OnHotstar",0,0,0
"Ragini Gill
@RaginiGill07
·
4m",2023-10-07T15:01:46.000Z,"I am super excited to watch this brilliant one.. 
#LokiSeason2OnHotstar",0,0,0
"no name
@PriyaPal377061
·
6m",2023-10-07T14:59:26.000Z,"I am very much excited for the season. Guys don't miss to watch it on Friday.  so amazing don't waste your time and watch this..
#LokiSeason2OnHotstar",0,0,0
"Human
@ThisWorldsHuman
·
1s",2023-10-07T15:06:18.000Z,"Just super amazing and lovely!!
Will watching it every Friday.
#LokiSeason2OnHotstar",0,0,0
"Rohit
@Vinesh123_
·
7s",2023-10-07T15:06:12.000Z,Grab your popcorn and get comfy because Loki S2 promises to be an even wilder ride than before. Tune in every Friday at 6:30 AM. #LokiSeason2OnHotstar,0,0,0
"neetu bisht
@neetubisht35726
·
8m",2023-10-07T14:58:06.000Z,"its first episode is totally a mind blowing so waiting for next Friday
#LokiSeason2OnHotstar",0,0,0
"itswm
@itsiopr
·
3m",2023-10-07T15:02:34.000Z,Friday nights are all about #LokiSeason2OnHotstar for me! It's a fantastic escape into the Marvel universe,0,0,0
"Badass Khiladi
@BadassPathak
·
1h",2023-10-07T14:05:43.000Z,Who needs a timeline when you've got #LokiSeason2OnHotstar to look forward to?,0,0,2
"chayan
@chayan941294815
·
9m",2023-10-07T14:56:46.000Z,The humor is balanced with moments of genuine emotion #LokiSeason2OnHotstar,0,0,0
"zoya writes
@Toxicworld06
·
2m",2023-10-07T15:03:27.000Z,"I watched the first episode which was very good, I am eagerly waiting for the second episode, it will also be very good.
#LokiSeason2OnHotstar",0,0,0
"bhanushali bhil
@JokerBa61463860
·
8m",2023-10-07T14:57:39.000Z,Fridays just got better with #LokiSeason2OnHotstar! Anticipation is killing me for the next episode,0,0,0
"sokin abbasi
@AbbasiSokin
·
8m",2023-10-07T14:57:35.000Z,"You all will enjoy watching its season 2 on Hotstar.
#LokiSeason2OnHotstar",0,0,0
"dinneshh
@dinneshh183337
·
9m",2023-10-07T14:56:46.000Z,The action sequences are pulse-pounding and well-choreographed #LokiSeason2OnHotstar,0,0,0
"bikruta
@Bikruta_Majhi
·
9m",2023-10-07T14:57:05.000Z,"This season is going to be heart touching
#LokiSeason2OnHotstar",0,0,0
"Ms Dhoni
@MsDhoni323577
·
10m",2023-10-07T14:55:52.000Z,MCU series is back with a vengeance! #LokiSeason2OnHotstar,0,0,0
"tarun
@BalaTarunSudhan
·
9m",2023-10-07T14:57:05.000Z,#LokiSeason2OnHotstar  it’s too good to watch on Hotstar guys,0,0,0
"Suchitra vlog
@SuchitraBehera_
·
10m",2023-10-07T14:56:19.000Z,"This is the best season ever watch it only hotstar 
#LokiSeason2OnHotstar",0,0,0
"Somnath Ghosh
@Somnath94071151
·
5s",2023-10-07T15:06:21.000Z,"Even if I die, I will  always watch this until the day before I die.#LokiSeason2OnHotstar",0,0,0
"Mahesh Kumar
@Max022766
·
3s",2023-10-07T15:06:23.000Z,"Let's watch the Loki season 2 first episode
#LokiSeason2OnHotstar",0,0,0
"Liliyyyyy
@LiliyyyyyP
·
8s",2023-10-07T15:06:18.000Z,Cheers to more Loki and his mischievous adventures!  #LokiSeason2OnHotstar,0,0,0
"Akansh
@Shreyy_yash
·
6m",2023-10-07T15:00:14.000Z,"Loki is a bigg success in india
As all are watching it with ease 
#LokiSeason2OnHotstar",0,0,0
"Møħãmméð Máśøøm
@mas_amme
·
9m",2023-10-07T14:57:01.000Z,They are program's original perspective on time travel and alternative realities..#LokiSeason2OnHotstar,0,0,0
"Mafik
@rahuljayker001
·
4m",2023-10-07T15:01:59.000Z,"Beautiful cinematography and acting level is just mind-blowing so don't miss to watch
#LokiSeason2OnHotstar",0,0,0
"Sakshi
@Chaturnaar_
·
2m",2023-10-07T15:03:55.000Z,"Avengers assemble!  #LokiSeason2OnHotstar is here, and it's time to dive back into the action with Loki's mischievous return. Get ready for thrills and surprises! ",0,0,0
"skyper
@JayBFanBoy1
·
3m",2023-10-07T15:03:20.000Z,"Check out the Loki season 2 only on hotstar
#LokiSeason2OnHotstar",0,0,0
"Manav tomar
@tomar_mana44949
·
10m",2023-10-07T14:56:28.000Z,"Friends, I and my friends are really eagerly waiting to see this.
#LokiSeason2OnHotstar",0,0,0
"Nihal
@NihalRP_
·
5m",2023-10-07T15:01:14.000Z,"I've said it before, and I'll say it again: #LokiSeason2OnHotstar is pure genius. Marvel's storytelling is unmatched.",0,0,0
"mani bhai
@manibhai671275
·
9m",2023-10-07T14:57:02.000Z,"Its first season was amazing..now second one is there..cant wait to watch all episodes on hotstar..
#LokiSeason2OnHotstar",0,0,0
"sathi
@sathi11220
·
4m",2023-10-07T15:01:42.000Z,"Guys must watch this series on hotstar.. I just love this first episode
#LokiSeason2OnHotstar",0,0,0
"!! तृष्णा !!
@Tumhari_bhumija
·
4m",2023-10-07T15:02:27.000Z,"Hey everyone don't forget to watch this amazing Loki season 2
#LokiSeason2OnHotstar",0,0,0
"Lord Rama
@Nancy66889190
·
2s",2023-10-07T15:06:31.000Z,"I would highly recommend you to watch this one ! It's incredible
#LokiSeason2OnHotstar",0,0,0
"hetu Ladumor
@ahir_hetal56450
·
7s",2023-10-07T15:06:26.000Z,The mischievous God of Mischief is back with a vengeance in #LokiSeason2OnHotstar. Don't miss it!,0,0,0
"Shreya Ghoshal
@AniruddhaM12731
·
8s",2023-10-07T15:06:25.000Z,"Episode makes us feel like watching the whole episode.
#LokiSeason2OnHotstar",0,0,0
"शिखा त्रिपाठी
@ShikhaTri1
·
7s",2023-10-07T15:06:26.000Z,"The God of Mischief is back, and he's up to his old tricks in Loki S2. Don't miss the chaos every Friday at 6:30 AM. #LokiSeason2OnHotstar",0,0,0
"Raavan
@The_brownG
·
9m",2023-10-07T14:57:16.000Z,"You can't beat the heat that 
Loki has created in our hearts 
#LokiSeason2OnHotstar",0,0,0
"#Shobha
@shobhaPanday
·
1h",2023-10-07T13:56:01.000Z,"The production design and score are top notch.  Can't wait for the next episode!
#LokiSeason2OnHotstar",0,2,5
"Rahul
@Rahul02303891
·
5m",2023-10-07T15:01:06.000Z,It is time to watch the most exciting series on Disney Plus hotstar.#LokiSeason2OnHotstar,0,0,0
"pooja
@pooja33320344
·
4m",2023-10-07T15:02:34.000Z,"#LokiSeason2OnHotstar
can't wait to watch another episode next Friday",0,0,0
"Smita
@SmitaDa9
·
5m",2023-10-07T15:01:36.000Z,Loki's charisma knows no bounds in #LokiSeason2OnHotstar. I can't get enough of this show.,0,0,0
"Anjum
@Sanjum001
·
4m",2023-10-07T15:02:29.000Z,"After watching this episode I am just speechless.. thanks for this series
#LokiSeason2OnHotstar",0,0,0
"❀Payal ❀
@__Payall
·
1h",2023-10-07T13:56:34.000Z,"Just get ready for the whirlwind of mischief is no streaming bringing you the mischievous escapades of Loki after the events of Avengers join the fun
#LokiSeason2OnHotstar",1,2,4
"Raja
@raja9923
·
4m",2023-10-07T15:02:05.000Z,Really suggest you to watch this masterpiece series.#LokiSeason2OnHotstar,0,0,0
"Sooyaaa
@PriyamD03769594
·
6m",2023-10-07T15:00:02.000Z,"Just outstanding and mind blowing series Don't miss
#LokiSeason2OnHotstar",0,0,0
"Ishaan Rai Thummar
@IshanRai26
·
4s",2023-10-07T15:06:36.000Z,"I am so amazed after watching the Loki session 2 episode 1 on hotstar...
 #LokiSeason2OnHotstar",0,0,0
"My Hero DHONI
@MyHeroDHONI1
·
4s",2023-10-07T15:06:36.000Z,It is really going to be blockbuster...#LokiSeason2OnHotstar,0,0,0
"Obito uchiha
@Obito814061
·
7s",2023-10-07T15:06:33.000Z,What a amazing . It’s really win my heart  #LokiSeason2OnHotstar,0,0,0
"pulkit.
@jerseyno27
·
9s",2023-10-07T15:06:31.000Z,"Loki is top show in MCU universe in my honest books. 
#LokiSeason2OnHotstar",0,0,0
"JONY LIVER
@JAIHIND843560
·
7m",2023-10-07T14:58:58.000Z,"Loki's charm and wit are as sharp as ever! 
#LokiSeason2OnHotstar",0,0,0
"Anushree Das
@Anushre95119606
·
2m",2023-10-07T15:03:42.000Z,"We are so excited to watch this amazing ! Don't miss this 
#LokiSeason2OnHotstar",0,0,0
